Id,Fee,AuctionShippingId,CitiesId,UserTypesId
1439,1425.0000,9,546,1
1441,1462.0000,9,552,1
1442,1655.0000,9,554,1
1443,1505.0000,9,558,1
1444,1505.0000,9,559,1
1445,1485.0000,9,562,1
1446,1555.0000,9,563,1
1447,1551.0000,9,564,1
1448,1556.0000,9,565,1
1449,1402.0000,9,575,1
1450,1476.0000,9,576,1
1451,1361.0000,9,577,1
1452,3331.0000,9,578,1
1453,1734.0000,9,580,1
1454,1855.0000,9,581,1
1455,1895.0000,9,583,1
1456,1734.0000,9,587,1
1457,1730.0000,9,588,1
1458,1745.0000,9,589,1
1459,1560.0000,9,591,1
1460,1650.0000,9,595,1
1461,1760.0000,9,596,1
1462,1770.0000,9,603,1
1463,1763.0000,9,604,1
1464,1885.0000,9,605,1
1465,1735.0000,9,606,1
1466,1557.0000,9,607,1
1467,1521.0000,9,608,1
1468,1756.0000,9,614,1
1469,1717.0000,9,615,1
1470,1666.0000,9,616,1
1471,1704.0000,9,618,1
1472,1652.0000,9,620,1
1473,1500.0000,9,621,1
1474,1707.0000,9,622,1
1475,1759.0000,9,623,1
1476,1565.0000,9,624,1
1477,1565.0000,9,630,1
1478,1615.0000,9,631,1
1479,1565.0000,9,633,1
1480,1565.0000,9,635,1
1481,1465.0000,9,637,1
1482,1565.0000,9,638,1
1483,1415.0000,9,639,1
1484,1790.0000,9,646,1
1485,1736.0000,9,647,1
1486,1755.0000,9,648,1
1487,1675.0000,9,649,1
1488,1815.0000,9,661,1
1489,1915.0000,9,665,1
1490,1865.0000,9,668,1
1491,1865.0000,9,671,1
1492,1735.0000,9,672,1
1493,1755.0000,9,673,1
1494,2610.0000,9,675,1
1495,2710.0000,9,677,1
1496,1646.0000,9,679,1
1497,1615.0000,9,680,1
1498,1606.0000,9,681,1
1499,1601.0000,9,683,1
1500,1620.0000,9,686,1
1501,1676.0000,9,691,1
1502,1586.0000,9,694,1
1503,2230.0000,9,696,1
1504,2055.0000,9,699,1
1505,1635.0000,9,701,1
1506,1402.0000,9,702,1
1507,1401.0000,9,703,1
1508,1428.0000,9,704,1
1509,1378.0000,9,709,1
1510,1455.0000,9,710,1
1511,1430.0000,9,712,1
1512,1663.0000,9,715,1
1513,1608.0000,9,716,1
1514,1854.0000,9,717,1
1515,1685.0000,9,718,1
1516,1535.0000,9,719,1
1517,1595.0000,9,722,1
1518,1442.0000,9,725,1
1519,1445.0000,9,727,1
1520,1595.0000,9,728,1
1521,1533.0000,9,729,1
1522,1663.0000,9,730,1
1523,1730.0000,9,731,1
1524,1650.0000,9,732,1
1525,1730.0000,9,733,1
1526,1713.0000,9,737,1
1527,1703.0000,9,738,1
1528,1517.0000,9,741,1
1529,1717.0000,9,742,1
1530,1312.0000,9,744,1
1531,1382.0000,9,745,1
1532,1360.0000,9,746,1
1533,1642.0000,9,747,1
1534,1348.0000,9,748,1
1535,2160.0000,9,749,1
1536,2431.0000,9,750,1
1537,2431.0000,9,753,1
1538,1484.0000,9,755,1
1539,1515.0000,9,756,1
1540,1653.0000,9,762,1
1541,1425.0000,9,766,1
1542,1450.0000,9,769,1
1543,1577.0000,9,771,1
1544,1505.0000,9,774,1
1545,1512.0000,9,777,1
1546,1252.0000,9,778,1
1547,1325.0000,9,779,1
1548,1565.0000,9,781,1
1549,1580.0000,9,782,1
1550,1585.0000,9,783,1
1551,1555.0000,9,785,1
1552,1635.0000,9,788,1
1553,2010.0000,9,791,1
1554,1709.0000,9,792,1
1555,1762.0000,9,793,1
1556,1702.0000,9,796,1
1557,1740.0000,9,797,1
1558,1581.0000,9,798,1
1559,1614.0000,9,799,1
1560,1607.0000,9,802,1
1561,1587.0000,9,804,1
1562,1623.0000,9,806,1
1563,1536.0000,9,808,1
1564,1595.0000,9,811,1
1565,1607.0000,9,812,1
1566,1509.0000,9,816,1
1567,1509.0000,9,818,1
1568,1559.0000,9,819,1
1569,1628.0000,9,820,1
1570,1726.0000,9,821,1
1571,1638.0000,9,823,1
1572,1655.0000,9,828,1
1573,1294.0000,9,829,1
1574,1617.0000,9,830,1
1575,1960.0000,9,837,1
1576,1650.0000,9,841,1
1577,1645.0000,9,844,1
1578,1615.0000,9,846,1
1579,1615.0000,9,847,1
1580,1561.0000,9,848,1
1581,1732.0000,9,850,1
1582,1640.0000,9,852,1
1583,1595.0000,9,853,1
1584,1645.0000,9,854,1
1585,2293.0000,9,860,1
1586,2344.0000,9,862,1
1587,1899.0000,9,863,1
1588,1588.0000,9,865,1
1589,1752.0000,9,868,1
1590,1695.0000,9,870,1
1591,1753.0000,9,871,1
1592,1760.0000,9,874,1
1593,2356.0000,9,875,1
1594,1463.0000,9,551,1
